parameter_set_id,ab_role,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0004-C-490-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU3-FL185000,ROBUST_3,500,3,185000,5,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-491-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU4-FL0,ROBUST_3,500,4,0,24,12,-100,10,620,5,78,620
FP1-EXP0004-C-492-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU4-FL6000,ROBUST_3,500,4,6000,22,12,-100,10,620,6,-11,620
FP1-EXP0004-C-493-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU4-FL30000,ROBUST_3,500,4,30000,19,10,-100,9,620,6,-11,620
FP1-EXP0004-C-494-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU4-FL93000,ROBUST_3,500,4,93000,10,5,681,5,1119,6,277,548
FP1-EXP0004-C-495-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU4-FL185000,ROBUST_3,500,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-496-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU8-FL0,ROBUST_3,500,8,0,6,5,250,4,-338,4,250,-338
FP1-EXP0004-C-497-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU8-FL6000,ROBUST_3,500,8,6000,6,5,250,4,-338,5,250,-338
FP1-EXP0004-C-498-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU8-FL30000,ROBUST_3,500,8,30000,5,5,250,4,-338,5,250,-338
FP1-EXP0004-C-499-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU8-FL93000,ROBUST_3,500,8,93000,4,4,250,4,-338,5,250,-338
FP1-EXP0004-C-500-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU8-FL185000,ROBUST_3,500,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-501-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU1-FL0,ROBUST_3,800,1,0,47,22,150,16,620,4,150,748
FP1-EXP0004-C-502-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU1-FL6000,ROBUST_3,800,1,6000,41,18,78,15,748,5,78,748
FP1-EXP0004-C-503-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU1-FL30000,ROBUST_3,800,1,30000,30,15,78,13,517,5,78,517
FP1-EXP0004-C-504-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU1-FL93000,ROBUST_3,800,1,93000,16,10,305,9,477,5,305,477
FP1-EXP0004-C-505-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU1-FL185000,ROBUST_3,800,1,185000,5,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-506-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU2-FL0,ROBUST_3,800,2,0,40,18,150,15,748,5,150,748
FP1-EXP0004-C-507-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU2-FL6000,ROBUST_3,800,2,6000,36,16,78,13,748,6,78,748
FP1-EXP0004-C-508-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU2-FL30000,ROBUST_3,800,2,30000,29,14,78,12,517,6,78,517
FP1-EXP0004-C-509-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU2-FL93000,ROBUST_3,800,2,93000,16,10,305,9,477,6,305,477
FP1-EXP0004-C-510-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU2-FL185000,ROBUST_3,800,2,185000,5,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-511-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU3-FL0,ROBUST_3,800,3,0,28,15,78,13,526,5,150,526
FP1-EXP0004-C-512-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU3-FL6000,ROBUST_3,800,3,6000,26,15,78,13,526,6,78,526
FP1-EXP0004-C-513-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU3-FL30000,ROBUST_3,800,3,30000,23,13,78,12,256,6,78,521
FP1-EXP0004-C-514-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU3-FL93000,ROBUST_3,800,3,93000,15,10,305,9,477,6,305,366
FP1-EXP0004-C-515-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU3-FL185000,ROBUST_3,800,3,185000,5,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-516-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU4-FL0,ROBUST_3,800,4,0,23,11,78,10,620,5,78,526
FP1-EXP0004-C-517-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU4-FL6000,ROBUST_3,800,4,6000,21,11,78,10,620,6,78,573
FP1-EXP0004-C-518-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU4-FL30000,ROBUST_3,800,4,30000,19,10,-100,9,620,6,164,438
FP1-EXP0004-C-519-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU4-FL93000,ROBUST_3,800,4,93000,10,5,681,5,1119,6,277,278
FP1-EXP0004-C-520-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU4-FL185000,ROBUST_3,800,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-521-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU8-FL0,ROBUST_3,800,8,0,6,5,250,4,-338,4,250,-338
FP1-EXP0004-C-522-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU8-FL6000,ROBUST_3,800,8,6000,6,5,250,4,-338,5,250,-338
FP1-EXP0004-C-523-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU8-FL30000,ROBUST_3,800,8,30000,5,5,250,4,-338,5,250,-338
FP1-EXP0004-C-524-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU8-FL93000,ROBUST_3,800,8,93000,4,4,250,4,-338,5,250,-338
FP1-EXP0004-C-525-ROBUST_3-R5000-T3-U2-PD2500-6500-RB800-BU8-FL185000,ROBUST_3,800,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-526-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU1-FL0,ROBUST_3,2300,1,0,38,19,917,15,826,4,316,684
FP1-EXP0004-C-527-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU1-FL6000,ROBUST_3,2300,1,6000,31,13,483,12,748,5,483,748
FP1-EXP0004-C-528-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU1-FL30000,ROBUST_3,2300,1,30000,21,10,483,9,587,5,410,517
FP1-EXP0004-C-529-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU1-FL93000,ROBUST_3,2300,1,93000,14,8,410,7,79,5,305,79
FP1-EXP0004-C-530-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU1-FL185000,ROBUST_3,2300,1,185000,5,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-531-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL0,ROBUST_3,2300,2,0,29,12,483,11,748,5,483,748
FP1-EXP0004-C-532-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000,ROBUST_3,2300,2,6000,25,10,483,9,748,6,483,667
FP1-EXP0004-C-533-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL30000,ROBUST_3,2300,2,30000,19,8,636,7,587,6,446,521
FP1-EXP0004-C-534-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL93000,ROBUST_3,2300,2,93000,14,8,410,7,79,6,357,79
FP1-EXP0004-C-535-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL185000,ROBUST_3,2300,2,185000,5,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-536-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU3-FL0,ROBUST_3,2300,3,0,20,11,636,9,526,5,483,526
FP1-EXP0004-C-537-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU3-FL6000,ROBUST_3,2300,3,6000,16,9,636,7,526,6,483,526
FP1-EXP0004-C-538-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU3-FL30000,ROBUST_3,2300,3,30000,15,8,636,7,526,6,446,167
FP1-EXP0004-C-539-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU3-FL93000,ROBUST_3,2300,3,93000,13,8,410,7,79,6,357,79
FP1-EXP0004-C-540-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU3-FL185000,ROBUST_3,2300,3,185000,5,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-541-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU4-FL0,ROBUST_3,2300,4,0,15,7,483,7,122,5,250,79
FP1-EXP0004-C-542-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU4-FL6000,ROBUST_3,2300,4,6000,13,6,483,6,79,6,366,100
FP1-EXP0004-C-543-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU4-FL30000,ROBUST_3,2300,4,30000,12,6,483,6,79,6,330,79
FP1-EXP0004-C-544-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU4-FL93000,ROBUST_3,2300,4,93000,10,5,410,5,79,6,330,26
FP1-EXP0004-C-545-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU4-FL185000,ROBUST_3,2300,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-546-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU8-FL0,ROBUST_3,2300,8,0,5,4,250,4,-338,4,250,-338
FP1-EXP0004-C-547-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU8-FL6000,ROBUST_3,2300,8,6000,5,4,250,4,-338,5,250,-338
FP1-EXP0004-C-548-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU8-FL30000,ROBUST_3,2300,8,30000,4,4,250,4,-338,5,250,-338
FP1-EXP0004-C-549-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU8-FL93000,ROBUST_3,2300,8,93000,4,4,250,4,-338,5,250,-338
FP1-EXP0004-C-550-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU8-FL185000,ROBUST_3,2300,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-551-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU1-FL0,ROBUST_3,7300,1,0,16,8,22,8,-27,4,22,-27
FP1-EXP0004-C-552-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU1-FL6000,ROBUST_3,7300,1,6000,11,7,22,7,-27,5,22,-27
FP1-EXP0004-C-553-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU1-FL30000,ROBUST_3,7300,1,30000,8,5,22,5,-27,5,22,-27
FP1-EXP0004-C-554-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU1-FL93000,ROBUST_3,7300,1,93000,5,4,173,3,-27,5,173,-27
FP1-EXP0004-C-555-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU1-FL185000,ROBUST_3,7300,1,185000,2,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-556-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU2-FL0,ROBUST_3,7300,2,0,12,7,22,7,-27,5,22,-27
FP1-EXP0004-C-557-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU2-FL6000,ROBUST_3,7300,2,6000,9,5,-188,5,-27,6,22,-27
FP1-EXP0004-C-558-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU2-FL30000,ROBUST_3,7300,2,30000,7,4,-1570,4,-27,6,97,-27
FP1-EXP0004-C-559-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU2-FL93000,ROBUST_3,7300,2,93000,5,4,173,3,-27,6,173,-27
FP1-EXP0004-C-560-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU2-FL185000,ROBUST_3,7300,2,185000,2,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-561-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU3-FL0,ROBUST_3,7300,3,0,10,6,-398,6,-27,5,22,-27
FP1-EXP0004-C-562-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU3-FL6000,ROBUST_3,7300,3,6000,6,4,-1570,4,-27,6,-7,-27
FP1-EXP0004-C-563-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU3-FL30000,ROBUST_3,7300,3,30000,6,4,-1570,4,-27,6,173,-27
FP1-EXP0004-C-564-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU3-FL93000,ROBUST_3,7300,3,93000,5,4,173,3,-27,6,173,-27
FP1-EXP0004-C-565-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU3-FL185000,ROBUST_3,7300,3,185000,2,2,-8438,2,-8072,5,-4503,-4347
FP1-EXP0004-C-566-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU4-FL0,ROBUST_3,7300,4,0,7,4,-220,3,-27,5,-280,-321
FP1-EXP0004-C-567-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU4-FL6000,ROBUST_3,7300,4,6000,5,3,173,2,-321,6,-220,-174
FP1-EXP0004-C-568-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU4-FL30000,ROBUST_3,7300,4,30000,5,3,173,2,-321,6,-23,-174
FP1-EXP0004-C-569-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU4-FL93000,ROBUST_3,7300,4,93000,4,2,173,1,-27,6,173,-321
FP1-EXP0004-C-570-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU4-FL185000,ROBUST_3,7300,4,185000,1,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-571-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU8-FL0,ROBUST_3,7300,8,0,3,2,-569,1,-622,4,-220,-338
FP1-EXP0004-C-572-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU8-FL6000,ROBUST_3,7300,8,6000,3,2,-569,1,-622,5,-198,-480
FP1-EXP0004-C-573-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU8-FL30000,ROBUST_3,7300,8,30000,2,2,-569,1,-622,5,-198,-480
FP1-EXP0004-C-574-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU8-FL93000,ROBUST_3,7300,8,93000,2,2,-569,1,-622,5,-198,-480
FP1-EXP0004-C-575-ROBUST_3-R5000-T3-U2-PD2500-6500-RB7300-BU8-FL185000,ROBUST_3,7300,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-576-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU1-FL0,ROBUST_3,20700,1,0,6,5,22,4,-83,3,22,-83
FP1-EXP0004-C-577-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU1-FL6000,ROBUST_3,20700,1,6000,3,2,22,2,-83,4,22,-55
FP1-EXP0004-C-578-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU1-FL30000,ROBUST_3,20700,1,30000,3,2,22,2,-83,4,329,249
FP1-EXP0004-C-579-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU1-FL93000,ROBUST_3,20700,1,93000,1,1,636,1,526,4,173,-27
FP1-EXP0004-C-580-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU1-FL185000,ROBUST_3,20700,1,185000,0,0,,0,,3,-3901,-3773
FP1-EXP0004-C-581-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU2-FL0,ROBUST_3,20700,2,0,5,4,22,4,-83,4,329,249
FP1-EXP0004-C-582-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU2-FL6000,ROBUST_3,20700,2,6000,2,1,1581,1,1213,5,22,-27
FP1-EXP0004-C-583-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU2-FL30000,ROBUST_3,20700,2,30000,2,1,636,1,526,5,636,526
FP1-EXP0004-C-584-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU2-FL93000,ROBUST_3,20700,2,93000,1,1,636,1,526,5,636,526
FP1-EXP0004-C-585-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU2-FL185000,ROBUST_3,20700,2,185000,0,0,,0,,4,-3901,-3773
FP1-EXP0004-C-586-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU3-FL0,ROBUST_3,20700,3,0,5,3,636,3,526,4,-129,-55
FP1-EXP0004-C-587-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU3-FL6000,ROBUST_3,20700,3,6000,2,1,636,1,526,5,636,526
FP1-EXP0004-C-588-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU3-FL30000,ROBUST_3,20700,3,30000,2,1,636,1,526,5,636,526
FP1-EXP0004-C-589-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU3-FL93000,ROBUST_3,20700,3,93000,1,1,636,1,526,5,636,526
FP1-EXP0004-C-590-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU3-FL185000,ROBUST_3,20700,3,185000,0,0,,0,,4,-3901,-3773
FP1-EXP0004-C-591-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU4-FL0,ROBUST_3,20700,4,0,4,2,-280,2,-321,4,-220,-27
FP1-EXP0004-C-592-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU4-FL6000,ROBUST_3,20700,4,6000,2,1,-220,1,-321,5,-23,-321
FP1-EXP0004-C-593-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU4-FL30000,ROBUST_3,20700,4,30000,2,1,-220,1,-321,5,173,-321
FP1-EXP0004-C-594-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU4-FL93000,ROBUST_3,20700,4,93000,1,0,,0,,5,173,-27
FP1-EXP0004-C-595-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU4-FL185000,ROBUST_3,20700,4,185000,0,0,,0,,4,-569,-622
FP1-EXP0004-C-596-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU8-FL0,ROBUST_3,20700,8,0,1,0,,0,,3,-424,-471
FP1-EXP0004-C-597-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU8-FL6000,ROBUST_3,20700,8,6000,1,0,,0,,4,-394,-471
FP1-EXP0004-C-598-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU8-FL30000,ROBUST_3,20700,8,30000,0,0,,0,,4,-394,-471
FP1-EXP0004-C-599-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU8-FL93000,ROBUST_3,20700,8,93000,0,0,,0,,4,-569,-622
FP1-EXP0004-C-600-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU8-FL185000,ROBUST_3,20700,8,185000,0,0,,0,,3,-569,-622
